reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,userLang,app_id
9b22b602-2176-4c1d-99ae-2904e2aeac1e,Abdus Sobur,https://play-lh.googleusercontent.com/a/ACg8ocJtSawLbGnaVjl42Y4y5_scYf-wsez7FeV639BxF2o2=mo,Messager,5,0,426.0.0.27.102,2023-09-19 12:05:35,,,426.0.0.27.102,JP,com.facebook.orca
ee0d13be-c2f9-40c6-8feb-7181d94eb3ca,Alessandro Giacobbo,https://play-lh.googleusercontent.com/a-/ALV-UjWchb0h2ge0KliRf4P-_WKeTdLn8hgaaQFhltoXz3fehlY,Uso questa app da molti anni con grande soddisfazione. La nuova funzione che sposta gli adesivi in base all'ultimo utilizzo ha reso praticamente impossibile il loro uso per chi ne ha tanti come me. Non ha alcun senso fare una pagina di impostazioni dove puoi ordinare gli adesivi e poi non dare la possibilitá di mantenere questo ordine. Ho scritto due volte al servizio clienti ma mi hanno liquidato dicendo che non é un bug. Mi dispiace sottolineare invece che lo é o almeno é un vero controsenso,2,96,19.5.4.0,2023-03-20 09:43:22,,,19.5.4.0,IT,com.viber.voip
e07beef7-6cdd-4a7b-a5c8-54922e4c5267,Lamelo Tiacoh,https://play-lh.googleusercontent.com/a/ACg8ocLPJ-fm_zvvbpapslckBJPRdTATqZ76CXUuVNWU8N7H=mo,Le seul défaut se trouve au niveau du téléchargement c'est trop long,5,0,9.5.6,2023-09-18 23:58:50,,,9.5.6,FR,org.telegram.messenger
d6f6bb79-87ea-49e0-8c05-b7ac3461abec,Babie Santiago,https://play-lh.googleusercontent.com/a-/ALV-UjX1rKGkZAhfx3d6sNzuvcDbrJ-lbqeNDh9naIZwnSZHfBph,Very very useful,5,0,2.23.12.78,2023-09-18 17:46:07,,,2.23.12.78, EN,com.whatsapp
f049c08d-8484-4632-afec-f1291228f5f3,Heineken 52,https://play-lh.googleusercontent.com/a-/ALV-UjX2Mk4e3qxXOE6wwyHGU4_8l7eZcLdLASsxvoXtbs7agic,"Telechargement de l'appli, ok✅ Creation du compte, impossible❌ Connexion au serveur impossible ! Application sans grand intérêt, inutile a télécharger ! Pour gagner votre temps, passer votre chemin ...",1,0,,2023-08-25 03:08:12,,,,FR,com.tencent.mm
25d0b61f-1150-4167-bb89-e706e8e1bed7,Roan Arciaga,https://play-lh.googleusercontent.com/a/ACg8ocJuptlHu4UT3k-DQ5OX7Zxqoxaqos1UFRs0bQHznDXr=mo,great,5,0,426.0.0.27.102,2023-09-19 12:19:03,,,426.0.0.27.102, EN,com.facebook.orca
9f4206d8-eb56-4008-8244-decd3490ea3d,Vincenzo Tassone (MasterVideoGamers),https://play-lh.googleusercontent.com/a-/ALV-UjV5wCW6MR5rFDks-1detbK_bfacBWRCyNEdMwWbJkJog_s,Miglior app social di sempre a mani basse ❤️,5,0,10.0.5,2023-09-12 03:05:02,,,10.0.5,IT,org.telegram.messenger
cb5a4289-36fb-4fd9-bc9e-008763a6272c,Maurana desu,https://play-lh.googleusercontent.com/a-/ALV-UjXCdRIaNZEo6muKcnZOarBHS6xsmjqjxy8jzJKPb0vUj9I,VERY GOOD,5,0,,2023-09-19 08:07:38,,,, EN,org.telegram.messenger
4035b6b0-260d-4d5d-a2f7-8eafe40a6234,Amar Dhami,https://play-lh.googleusercontent.com/a/ACg8ocIc31jfKOB_HSUE7hCsbUJ_2JpsCPP-_fHcN9MQj744=mo,This app is not bad but not good also there is some issues in this app,2,0,410.0.0.17.85,2023-09-19 14:11:44,,,410.0.0.17.85,JP,com.facebook.orca
49cad833-a6d6-4a43-933a-e7aee5877ce2,Abir Ms,https://play-lh.googleusercontent.com/a/ACg8ocKkYgjnicvJcCMR6WJ3TI8HSIJR5AlWiJk1lNr8-Ra2=mo,روعة,5,0,,2023-09-16 22:25:59,,,,FR,org.telegram.messenger
